Pełna nazwa;Marka;Model;Link;Liczba drzwi;Liczba miejsc;Średnica zawracania;Promień skrętu;Długość;Szerokość;Szerokość z lusterkami bocznymi;Wysokość;Rozstaw osi;Rozstaw kół - przód;Rozstaw kół - tył;Zwis przedni;Zwis tylny;Prześwit;Długość z hakiem holowniczym;Szerokość ze złożonymi lusterkami bocznymi;Szerokość przy otwartych drzwiach z przodu;Szerokość przy otwartych drzwiach z tyłu;Wysokość z relingami dachowymi;Wysokość z anteną;Wysokość przy otwartej klapie bagażnika;Wysokość przy otwartej pokrywie silnika;Prześwit 4x4;Odległość oparcia fotela przedniego od kierownicy;Długość kolumny kierownicy;Odległość oparcia przedniego od komory silnika;Odległość od siedziska przedniego do dachu;Wysokość siedziska przedniego;Długość siedziska przedniego;Wysokość oparcia przedniego;Odległość pomiędzy siedzeniami przednimi i tylnymi;Odległość od siedziska tylnego do dachu;Odległość od podłogi do siedziska tylnego;Długość siedziska tylnego;Wysokość oparcia tylnego;Szerokość nad podłokietnikami z przodu;Szerokość nad podłokietnikami z tyłu;Szerokość na wysokości podłokietników z przodu;Szerokość na wysokości podłokietników z tyłu;Przestrzeń wsiadania z przodu - szerokość;Przestrzeń wsiadania z przodu - wysokość;Przestrzeń wsiadania z tyłu - szerokość;Przestrzeń wsiadania z tyłu - wysokość;Zakres przesuwania foteli przednich;Całkowita długość wnętrza kabiny;Całkowita szerokość wnętrza kabiny;Całkowita wysokość wnętrza kabiny;Maksymalna pojemność bagażnika (siedzenia złożone);Minimalna pojemność bagażnika (siedzenia rozłożone);Szerokość pomiędzy nadkolami;Wysokość bagażnika;Szerokość bagażnika;Długość do oparcia tylnej kanapy;Długość ze złożoną tylną kanapą;Wysokość progu załadowczego;Kąt natarcia;Kąt rampowy;Kąt zejścia;Kąt przechyłu bocznego;Możliwość podjazdu;Głębokość brodzenia;Maksymalna ładowność;Dopuszczalne obciążenie dachu;Powierzchnia „przejrzysta” przedniej szyby;Całkowita powierzchnia „przejrzysta” szyb;Produkowany;Pojemność skokowa;Typ silnika;Moc silnika;Maksymalny moment obrotowy;Moc silnika (spalinowy);Maksymalny moment obrotowy (spalinowy);Moc silnika (elektryczny);Maksymalny moment obrotowy (elektryczny);Montaż silnika;Doładowanie;Umiejscowienie wałka rozrządu;Liczba cylindrów;Układ cylindrów;Liczba zaworów;Stopień sprężania;Zapłon;Typ wtrysku;Liczba silników;Średnica cylindra × skok tłoka;Układ paliwowy;Dodatkowe informacje;Rodzaj układu kierowniczego;Opony podstawowe;Opony opcjonalne;Felgi podstawowe;Felgi opcjonalne;Rozstaw śrub;Rodzaj hamulców (przód);Rodzaj hamulców (tył);Hamowanie (100 do 0km/h) z ABS;Typ układu hamulcowego;Grubość tarcz hamulcowych (przód);Grubość tarcz hamulcowych (tył);Średnica tarcz hamulcowych (przód);Średnica tarcz hamulcowych (tył);Rodzaj zawieszenia (przód);Rodzaj zawieszenia  (tył);Amortyzatory;Rodzaj skrzyni;Nazwa skrzyni;Liczba stopni;Rodzaj napędu;Rodzaj sprzęgła;Prędkość maksymalna;Przyspieszenie (od 0 do 100km/h);400 metrów ze startu zatrzymanego;1000 metrów ze startu zatrzymanego;Średnie spalanie (cykl mieszany);Spalanie na trasie (na autostradzie);Spalanie w mieście;Pojemność akumulatora brutto;Typ ładowarki;Chłodzenie akumulatora;Pojemność akumulatora netto;Metodologia pomiaru zasięgu;Zużycie energii;Maksymalny zasięg przy oszczędnej jeździe na długiej trasie;Średni maksymalny zasięg;Średni minimalny zasięg;Maksymalna moc ładowania DC;Maksymalna moc ładowania AC;Stacja szybkiego ładowania;Gniazdko 3F/Stacja AC;Gniazdko 1F;Pojemność zbiornika paliwa;Zasięg (cykl mieszany);Zasięg (autostrada);Zasięg (miasto);Emisja CO₂;Norma emisji spalin;Minimalna masa własna pojazdu (bez obciążenia);Maksymalna masa całkowita pojazdu (w pełni obciążonego);Maksymalna masa przyczepy z hamulcami;Maksymalna masa przyczepy bez hamulców;Maksymalny nacisk na hak;Pojemność akumulatora;Pojemność akumulatora w wersji z klimatyzacja;System start&stop;Kod silnika
brak danych;Tesla;Model Y;https://www.auto-data.net/pl/tesla-model-y-standard-range-60-kwh-299hp-54490;5;5;brak danych;13 m;4751 mm;1921 mm;2129 mm;1624 mm;2890 mm;1646 mm;1636 mm;875 mm;986 mm;172 mm;brak danych;1978 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;172 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;2158 l;854 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;75 kg;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Zaloguj się, aby zobaczyć.;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;255/45 R19  255/40 R20;255/45 R19  255/40 R20;9.5J x 19  9.5J x 20;9.5J x 19  9.5J x 20;brak danych;Tarczowe wentylowane, 355x25 mm;Tarczowe wentylowane , 335x20 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Sprężyna śrubowa, podwójny wahacz poprzeczny , stabilizator poprzeczny;Niezależne wielowahaczowe zawieszenie sprężynowe ze stabilizatorem;brak danych;automatyczna;brak danych;1 biegów;Napęd na tylne koła;brak danych;217 km/h;6.9 s;brak danych;brak danych;brak danych;brak danych;brak danych;60 kWh;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1909 kg;640 kg;brak danych;750 kg;1600 kg;60 kWh;brak danych;brak danych;brak danych
brak danych;Tesla;Model Y;https://www.auto-data.net/pl/tesla-model-y-standard-range-50-kwh-204hp-42078;5;5-7;brak danych;1 m;4750 mm;1920 mm;2129 mm;1624 mm;2890 mm;1636 mm;1636 mm;874 mm;986 mm;167 mm;brak danych;1978 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;167 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;2041 l;854 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Zaloguj się, aby zobaczyć.;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;Przednie opony: 255/45 R19  255/40 R20  255/35 R21Tylne opony: 255/45 R19  255/40 R20  275/35 R21;Przednie opony: 255/45 R19  255/40 R20  255/35 R21Tylne opony: 255/45 R19  255/40 R20  275/35 R21;Przednie felgi: 9.5J x 19  9.5J x 20  9.5J x 21Tylne felgi: 9.5J x 19  9.5J x 20  10.5J x 21;Przednie felgi: 9.5J x 19  9.5J x 20  9.5J x 21Tylne felgi: 9.5J x 19  9.5J x 20  10.5J x 21;brak danych;Tarczowe wentylowane, 355x25 mm;Tarczowe wentylowane , 335x20 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;podwójny wahacz poprzeczny , stabilizator poprzeczny;Niezależne zawieszenie wielowahaczowe, stabilizator poprzeczny;brak danych;automatyczna;brak danych;1 biegów;Napęd na tylne koła;brak danych;217 km/h;6.9 s;brak danych;brak danych;brak danych;brak danych;brak danych;50 kWh;brak danych;brak danych;brak danych;brak danych;16.2 kWh/100 km 26.07 kWh/100 mi129 MPGe6.2 km/kWh3.8 mi/kWh;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1844 kg;525 kg;brak danych;750 kg;1588 kg;50 kWh;brak danych;brak danych;brak danych
brak danych;Tesla;Model Y;https://www.auto-data.net/pl/tesla-model-y-performance-80.5-kwh-534hp-dual-motor-awd-45719;5;5-7;brak danych;1 m;4751 mm;1921 mm;2129 mm;1624 mm;2890 mm;1646 mm;1630 mm;875 mm;986 mm;167 mm;brak danych;1978 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;167 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;2158 l;854 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Zaloguj się, aby zobaczyć.;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;Przednie opony: 255/35 R21 XLTylne opony: 275/35 R21 XL;Przednie opony: 255/35 R21 XLTylne opony: 275/35 R21 XL;Przednie felgi: 21Tylne felgi: 21;Przednie felgi: 21Tylne felgi: 21;brak danych;Tarczowe wentylowane, 355x27 mm;Tarczowe wentylowane , 335x22 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;podwójny wahacz poprzeczny;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;1 biegów;Napęd na wszystkie koła (4x4);brak danych;250 km/h;3.7 s;brak danych;brak danych;brak danych;brak danych;brak danych;80.5 kWh;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1995 kg;brak danych;brak danych;brak danych;brak danych;80.5 kWh;brak danych;brak danych;brak danych
brak danych;Tesla;Model Y;https://www.auto-data.net/pl/tesla-model-y-performance-75-kwh-462hp-dual-motor-awd-42080;5;5;brak danych;1 m;4750 mm;1920 mm;2129 mm;1624 mm;2890 mm;1646 mm;1656 mm;874 mm;986 mm;167 mm;brak danych;1978 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;167 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1926 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;Przednie opony: 255/35 R21Tylne opony: 275/35 R21;Przednie opony: 255/35 R21Tylne opony: 275/35 R21;Przednie felgi: 21Tylne felgi: 21;Przednie felgi: 21Tylne felgi: 21;brak danych;Tarczowe wentylowane, 355x27 mm;Tarczowe wentylowane , 335x22 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;podwójny wahacz poprzeczny;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;1 biegów;Napęd na wszystkie koła (4x4);brak danych;249 km/h;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;75 kWh;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;2003 kg;402 kg;brak danych;brak danych;1588 kg;75 kWh;brak danych;brak danych;brak danych
brak danych;Tesla;Model Y;https://www.auto-data.net/pl/tesla-model-y-long-range-80.5-kwh-514hp-dual-motor-awd-45720;5;5-7;brak danych;1 m;4751 mm;1921 mm;2129 mm;1624 mm;2890 mm;1636 mm;1636 mm;875 mm;986 mm;167 mm;brak danych;1978 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;167 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;2158 l;854 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Zaloguj się, aby zobaczyć.;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;255/45 R19 XL  255/40 R20 XL;255/45 R19 XL  255/40 R20 XL;19  20;19  20;brak danych;Tarczowe wentylowane, 355x25 mm;Tarczowe wentylowane , 335x20 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;podwójny wahacz poprzeczny;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;1 biegów;Napęd na wszystkie koła (4x4);brak danych;217 km/h;5.0 s;brak danych;brak danych;brak danych;brak danych;brak danych;80.5 kWh;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1979 kg;brak danych;brak danych;brak danych;brak danych;80.5 kWh;brak danych;brak danych;brak danych
brak danych;Tesla;Model Y;https://www.auto-data.net/pl/tesla-model-y-long-range-78.1-kwh-347hp-54410;5;5;brak danych;13 m;4751 mm;1921 mm;2129 mm;1624 mm;2890 mm;1636 mm;1636 mm;875 mm;986 mm;172 mm;brak danych;1978 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;172 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;2158 l;854 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;75 kg;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Zaloguj się, aby zobaczyć.;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;255/45 R19  255/40 R20;255/45 R19  255/40 R20;9.5J x 19  9.5J x 20;9.5J x 19  9.5J x 20;brak danych;Tarczowe wentylowane, 355x25 mm;Tarczowe wentylowane , 335x20 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Sprężyna śrubowa, podwójny wahacz poprzeczny , stabilizator poprzeczny;Niezależne zawieszenie wielowahaczowe, Sprężyna śrubowa;brak danych;automatyczna;brak danych;1 biegów;Napęd na tylne koła;brak danych;217 km/h;5.9 s;brak danych;brak danych;brak danych;brak danych;brak danych;78.1 kWh;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1959 kg;660 kg;brak danych;750 kg;1600 kg;78.1 kWh;brak danych;brak danych;brak danych
brak danych;Tesla;Model Y;https://www.auto-data.net/pl/tesla-model-y-long-range-75-kwh-351hp-dual-motor-awd-42079;5;5-7;brak danych;1 m;4750 mm;1920 mm;2129 mm;1624 mm;2890 mm;1636 mm;1636 mm;874 mm;986 mm;167 mm;brak danych;1978 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;167 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;2041 l;854 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Zaloguj się, aby zobaczyć.;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;255/45 R19  255/40 R20;255/45 R19  255/40 R20;9.5J x 19  9.5J x 20;9.5J x 19  9.5J x 20;brak danych;Tarczowe wentylowane, 355x25 mm;Tarczowe wentylowane , 335x20 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Sprężyna śrubowa, podwójny wahacz poprzeczny , stabilizator poprzeczny;Niezależne zawieszenie wielowahaczowe, Sprężyna śrubowa;brak danych;automatyczna;brak danych;1 biegów;Napęd na wszystkie koła (4x4);brak danych;217 km/h;5 s;brak danych;brak danych;brak danych;brak danych;brak danych;75 kWh;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1979 kg;426 kg;brak danych;750 kg;1588 kg;75 kWh;brak danych;brak danych;brak danych
