Architektura agregatu;Architektura układu napędowego;Aspiracja silnika;Dopuszczalna masa;Dopuszczalna masa całkowita przyczepy bez hamulców;Dopuszczalna masa całkowita przyczepy z hamulcami przy ruszaniu na wzniesieniu o nachyleniu 12%;Dopuszczalna masa całkowita przyczepy z hamulcami przy ruszaniu na wzniesieniu o nachyleniu 8%;Dopuszczalna masa ładunku na dachu;Dopuszczalny nacisk przyczepy na hak holowniczy;Długość;Emisje CO2;Emisje CO2 (NEDC, WLTP odpowiednik);Emisje CO2 (WLTP);Generacja;Hamulce przednie;Hamulce tylne;Ilość biegów i rodzaj skrzyni biegów;Ilość oleju w silniku;Konfiguracja silnika;Koniec produkcji;Liczba cylindrów;Liczba drzwi;Liczba miejsc;Liczba zaworów cylindra;Link;Maksymalne obciążenie;Marka;Masa własna;Minimalna pojemność bagażnika;Minimalna średnica skrętu;Moc;Moc na litr objętości roboczej;Model;Model/Kod silnika;Modyfikacja (Silnik);Moment obrotowy;Napęd;Początek produkcji;Pojemność silnika;Przyspieszenie 0 - 100 km/h;Przyspieszenie 0 - 60 mph (Obliczone przez Auto-Data.net);Przyspieszenie 0 - 62 mph;Prędkość maksymalna;Rozmiar felg;Rozmiar opon;Rozstaw kół przednich;Rozstaw kół tylnych;Rozstaw osi;Skok tłoka;Specyfikacja oleju silnikowego;Standard ekologiczny;Stopień sprężania;Stosunek masy do Moment obrotowy;Stosunek masy do mocy;Systemy wspomagające;Szerokość;Szerokość ze rozłożonymi lusterkami;Typ nadwozia;Typ paliwa;Układ kierowniczy;Układ silnika;Układ wtrysku paliwa;Układy silnika;Wspomaganie kierownicy;Współczynnik oporu powietrza (Cx);Wysokość;Zawieszenie przednie;Zawieszenie tylne;Zbiornik paliwa;Zużycia paliwa, mieszany (WLTP);Zużycie paliwa - Cykl miejski;Zużycie paliwa - Cykl miejski (NEDC, WLTP odpowiednik);Zużycie paliwa - Cykl mieszany;Zużycie paliwa - Cykl mieszany (NEDC, WLTP odpowiednik);Zużycie paliwa - Cykl pozamiejski;Zużycie paliwa - Cykl pozamiejski (NEDC, WLTP odpowiednik);płyn chłodzący;zbiornik AdBlue;zwis przedni;zwis tylny;Średnica cylindrów
Silnik spalinowy;SSW wprowadza w ruch na stałe cztery koła pojazdu.;Turbo kompresor , Intercooler;2160 kg 4761.98 lbs.;750 kg 1653.47 lbs.;1800 kg 3968.32 lbs.;2000 kg 4409.25 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;131-139 g/km;Brak danych;152-166 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;7 biegów, automatyczna skrzynia biegów S tronic;4.7 l 4.97 US qt | 4.14 UK qt;Rzędowy;Sierpień, 2020 r;4;4;5;Brak danych;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-40-tdi-190hp-quattro-s-tronic-37524;575 kg 1267.66 lbs.;Audi;1585 kg 3494.33 lbs.;Brak danych;11.6 m 38.06 ft.;190 KM @ 3800-4200 obr./min.;96.5 KM/l;A4;DESA, DETA;40 TDI (190 KM) quattro S tronic;400 Nm @ 1750-3000 obr./min. 295.02 lb.-ft. @ 1750-3000 obr./min.;Napęd na wszystkie koła (4x4);Może, 2019 r;1968 cm3 120.09 cu. in.;7.4 s;7 s;7.4 s;210 km/h 130.49 mph;Brak danych;Brak danych;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;Brak danych;Zaloguj się, aby zobaczyć.;Euro 6d - TEMP - EVAP - ISC;Brak danych;4 kg/Nm, 252.4 Nm/tonę;8.3 kg/KM, 119.9 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Olej napędowy;Przekładnia zębatkowa;Z przodu, wzdłuż;Diesel common rail;Filtr cząstek stałych;Wspomaganie elektryczne;Brak danych;1428 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;58 l 15.32 US gal | 12.76 UK gal;5.8-6.2 l/100 km 40.55 - 37.94 US mpg48.7 - 45.56 UK mpg17.24 - 16.13 km/l;5.6-5.9 l/100 km 42 - 39.87 US mpg50.44 - 47.88 UK mpg17.86 - 16.95 km/l;Brak danych;4.9-5.3 l/100 km 48 - 44.38 US mpg57.65 - 53.3 UK mpg20.41 - 18.87 km/l;Brak danych;4.5-4.9 l/100 km 52.27 - 48 US mpg62.77 - 57.65 UK mpg22.22 - 20.41 km/l;Brak danych;Brak danych;Brak danych;899 mm 35.39 in.;1043 mm 41.06 in.;Brak danych
MHEV (łagodny układ hybrydowy);SSW oraz motor elektryczny wprowadzają w ruch przednie koła pojazdu z możliwością jazdy wyłącznie w trybie mieszanym.;Turbo kompresor , Intercooler;2040 kg 4497.43 lbs.;750 kg 1653.47 lbs.;1500 kg 3306.93 lbs.;1700 kg 3747.86 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;Brak danych;126-135 g/km;135-160 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;7 biegów, automatyczna skrzynia biegów S tronic;5.2 l 5.49 US qt | 4.58 UK qt;Rzędowy;2024 r;4;4;5;4;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-35-tfsi-150hp-mild-hybrid-s-tronic-42805;570 kg 1256.63 lbs.;Audi;1470 kg 3240.8 lbs.;460 l 16.24 cu. ft.;11.6 m 38.06 ft.;150 KM @ 4000-6000 obr./min.;75.6 KM/l;A4;DMSB;35 TFSI (150 KM) Mild Hybrid S tronic;270 Nm @ 1300-3850 obr./min. 199.14 lb.-ft. @ 1300-3850 obr./min.;Napęd na przednie koła;Lipiec, 2020 r;1984 cm3 121.07 cu. in.;8.9 s;8.5 s;8.9 s;210 km/h 130.49 mph;7.0 J x 16;205/60 R16;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;92.8 mm 3.65 in.;Zaloguj się, aby zobaczyć.;Euro 6d-ISC-FCM;12.2:1;5.4 kg/Nm, 183.7 Nm/tonę;9.8 kg/KM, 102 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Benzyna;Przekładnia zębatkowa;Z przodu, wzdłuż;Wtrysk bezpośredni;System start-stopFiltr cząstek stałych;Wspomaganie elektryczne;0.25;1431 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;54 l 14.27 US gal | 11.88 UK gal;5.9-7.0 l/100 km 39.87 - 33.6 US mpg47.88 - 40.35 UK mpg16.95 - 14.29 km/l;Brak danych;7.2-7.5 l/100 km 32.67 - 31.36 US mpg39.23 - 37.66 UK mpg13.89 - 13.33 km/l;Brak danych;5.5-5.9 l/100 km 42.77 - 39.87 US mpg51.36 - 47.88 UK mpg18.18 - 16.95 km/l;Brak danych;4.6-5.0 l/100 km 51.13 - 47.04 US mpg61.41 - 56.5 UK mpg21.74 - 20 km/l;10 l 10.57 US qt | 8.8 UK qt;Brak danych;899 mm 35.39 in.;1043 mm 41.06 in.;82.5 mm 3.25 in.
MHEV (łagodny układ hybrydowy);SSW oraz motor elektryczny wprowadzają w ruch przednie koła pojazdu z możliwością jazdy wyłącznie w trybie mieszanym.;Turbo kompresor , Intercooler;2035 kg 4486.41 lbs.;750 kg 1653.47 lbs.;1500 kg 3306.93 lbs.;1700 kg 3747.86 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;125-136 g/km;Brak danych;150-165 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;7 biegów, automatyczna skrzynia biegów S tronic;5.2 l 5.49 US qt | 4.58 UK qt;Rzędowy;2020 r;4;4;5;4;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-35-tfsi-150hp-mild-hybrid-s-tronic-37078;595 kg 1311.75 lbs.;Audi;1440 kg 3174.66 lbs.;Brak danych;11.6 m 38.06 ft.;150 KM @ 3900-6000 obr./min.;75.6 KM/l;A4;DMSB;35 TFSI (150 KM) Mild Hybrid S tronic;270 Nm @ 1350-3900 obr./min. 199.14 lb.-ft. @ 1350-3900 obr./min.;Napęd na przednie koła;2019 r;1984 cm3 121.07 cu. in.;8.9 s;8.5 s;8.9 s;225 km/h 139.81 mph;Brak danych;Brak danych;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;Brak danych;Zaloguj się, aby zobaczyć.;Euro 6d - TEMP - EVAP - ISC;Brak danych;5.3 kg/Nm, 187.5 Nm/tonę;9.6 kg/KM, 104.2 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Benzyna;Przekładnia zębatkowa;Z przodu, wzdłuż;Wtrysk bezpośredni;Brak danych;Wspomaganie elektryczne;Brak danych;1428 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;54 l 14.27 US gal | 11.88 UK gal;6.7-7.3 l/100 km 35.11 - 32.22 US mpg42.16 - 38.7 UK mpg14.93 - 13.7 km/l;7.1-7.5 l/100 km 33.13 - 31.36 US mpg39.79 - 37.66 UK mpg14.08 - 13.33 km/l;Brak danych;5.5-6.0 l/100 km 42.77 - 39.2 US mpg51.36 - 47.08 UK mpg18.18 - 16.67 km/l;Brak danych;4.6-5.1 l/100 km 51.13 - 46.12 US mpg61.41 - 55.39 UK mpg21.74 - 19.61 km/l;Brak danych;10 l 10.57 US qt | 8.8 UK qt;Brak danych;899 mm 35.39 in.;1043 mm 41.06 in.;Brak danych
MHEV (łagodny układ hybrydowy);SSW oraz motor elektryczny wprowadzają w ruch przednie koła pojazdu z możliwością jazdy wyłącznie w trybie mieszanym.;Turbo kompresor , Intercooler;2005 kg 4420.27 lbs.;750 kg 1653.47 lbs.;1400 kg 3086.47 lbs.;1600 kg 3527.4 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;Brak danych;130-139 g/km;134-156 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;6 biegów, ręczna skrzynia biegów;5.2 l 5.49 US qt | 4.58 UK qt;Rzędowy;2024 r;4;4;5;4;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-35-tfsi-150hp-mild-hybrid-42804;570 kg 1256.63 lbs.;Audi;1435 kg 3163.63 lbs.;460 l 16.24 cu. ft.;11.6 m 38.06 ft.;150 KM @ 4000-6000 obr./min.;75.6 KM/l;A4;DMSB;35 TFSI (150 KM) Mild Hybrid;270 Nm @ 1300-3850 obr./min. 199.14 lb.-ft. @ 1300-3850 obr./min.;Napęd na przednie koła;Lipiec, 2020 r;1984 cm3 121.07 cu. in.;8.6 s;8.2 s;8.6 s;210 km/h 130.49 mph;7.0 J x 16;205/60 R16;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;92.8 mm 3.65 in.;Zaloguj się, aby zobaczyć.;Euro 6d-ISC-FCM;12.2:1;5.3 kg/Nm, 188.2 Nm/tonę;9.6 kg/KM, 104.5 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Benzyna;Przekładnia zębatkowa;Z przodu, wzdłuż;Wtrysk bezpośredni;System start-stopFiltr cząstek stałych;Wspomaganie elektryczne;0.25;1431 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;54 l 14.27 US gal | 11.88 UK gal;5.9-6.9 l/100 km 39.87 - 34.09 US mpg47.88 - 40.94 UK mpg16.95 - 14.49 km/l;Brak danych;7.6-8.0 l/100 km 30.95 - 29.4 US mpg37.17 - 35.31 UK mpg13.16 - 12.5 km/l;Brak danych;5.7-6.0 l/100 km 41.27 - 39.2 US mpg49.56 - 47.08 UK mpg17.54 - 16.67 km/l;Brak danych;4.6-5.0 l/100 km 51.13 - 47.04 US mpg61.41 - 56.5 UK mpg21.74 - 20 km/l;10 l 10.57 US qt | 8.8 UK qt;Brak danych;899 mm 35.39 in.;1043 mm 41.06 in.;82.5 mm 3.25 in.
Silnik spalinowy;SSW wprowadza w ruch przednie koła samochodu.;Turbo kompresor , Intercooler;2005 kg 4420.27 lbs.;740 kg 1631.42 lbs.;1400 kg 3086.47 lbs.;1600 kg 3527.4 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;129-143 g/km;Brak danych;151-166 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;6 biegów, ręczna skrzynia biegów;5.2 l 5.49 US qt | 4.58 UK qt;Rzędowy;Sierpień, 2020 r;4;4;5;Brak danych;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-35-tfsi-150hp-37525;590 kg 1300.73 lbs.;Audi;1415 kg 3119.54 lbs.;Brak danych;11.6 m 38.06 ft.;150 KM @ 3000-4400 obr./min.;76.2 KM/l;A4;DMSB;35 TFSI (150 KM);320 Nm @ 1500-2750 obr./min. 236.02 lb.-ft. @ 1500-2750 obr./min.;Napęd na przednie koła;Może, 2019 r;1968 cm3 120.09 cu. in.;8.6 s;8.2 s;8.6 s;224 km/h 139.19 mph;Brak danych;Brak danych;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;Brak danych;Zaloguj się, aby zobaczyć.;Euro 6d - TEMP - EVAP - ISC;Brak danych;4.4 kg/Nm, 226.1 Nm/tonę;9.4 kg/KM, 106 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Benzyna;Przekładnia zębatkowa;Z przodu, wzdłuż;Wtrysk bezpośredni;Brak danych;Wspomaganie elektryczne;Brak danych;1428 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;54 l 14.27 US gal | 11.88 UK gal;6.7-7.3 l/100 km 35.11 - 32.22 US mpg42.16 - 38.7 UK mpg14.93 - 13.7 km/l;7.5-8.5 l/100 km 31.36 - 27.67 US mpg37.66 - 33.23 UK mpg13.33 - 11.76 km/l;Brak danych;5.7-6.5 l/100 km 41.27 - 36.19 US mpg49.56 - 43.46 UK mpg17.54 - 15.38 km/l;Brak danych;4.6-5.0 l/100 km 51.13 - 47.04 US mpg61.41 - 56.5 UK mpg21.74 - 20 km/l;Brak danych;Brak danych;Brak danych;899 mm 35.39 in.;1043 mm 41.06 in.;Brak danych
Silnik spalinowy;SSW wprowadza w ruch przednie koła samochodu.;Turbo kompresor , Intercooler;2095 kg 4618.68 lbs.;750 kg 1653.47 lbs.;1700 kg 3747.86 lbs.;1900 kg 4188.78 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;100-109 g/km;Brak danych;134-148 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;7 biegów, automatyczna skrzynia biegów S tronic;5.5 l 5.81 US qt | 4.84 UK qt;Rzędowy;Sierpień, 2020 r;4;4;5;Brak danych;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-35-tdi-163hp-s-tronic-37523;600 kg 1322.77 lbs.;Audi;1495 kg 3295.91 lbs.;Brak danych;11.6 m 38.06 ft.;163 KM @ 3250-4200 obr./min.;82.8 KM/l;A4;DEZE;35 TDI (163 KM) S tronic;380 Nm @ 1500-2750 obr./min. 280.27 lb.-ft. @ 1500-2750 obr./min.;Napęd na przednie koła;Może, 2019 r;1968 cm3 120.09 cu. in.;8.2 s;7.8 s;8.2 s;228 km/h 141.67 mph;Brak danych;Brak danych;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;Brak danych;Zaloguj się, aby zobaczyć.;Euro 6d - TEMP - EVAP - ISC;Brak danych;3.9 kg/Nm, 254.2 Nm/tonę;9.2 kg/KM, 109 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Olej napędowy;Przekładnia zębatkowa;Z przodu, wzdłuż;Diesel common rail;Filtr cząstek stałych;Wspomaganie elektryczne;Brak danych;1428 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;40 l 10.57 US gal | 8.8 UK gal;5.0-5.6 l/100 km 47.04 - 42 US mpg56.5 - 50.44 UK mpg20 - 17.86 km/l;4.3-4.5 l/100 km 54.7 - 52.27 US mpg65.69 - 62.77 UK mpg23.26 - 22.22 km/l;Brak danych;3.8-4.1 l/100 km 61.9 - 57.37 US mpg74.34 - 68.9 UK mpg26.32 - 24.39 km/l;Brak danych;3.5-3.9 l/100 km 67.2 - 60.31 US mpg80.71 - 72.43 UK mpg28.57 - 25.64 km/l;Brak danych;8 l 8.45 US qt | 7.04 UK qt;Brak danych;899 mm 35.39 in.;1043 mm 41.06 in.;Brak danych
MHEV (łagodny układ hybrydowy);SSW oraz motor elektryczny wprowadzają w ruch przednie koła pojazdu z możliwością jazdy wyłącznie w trybie mieszanym.;Turbo kompresor , Intercooler;2095 kg 4618.68 lbs.;750 kg 1653.47 lbs.;1700 kg 3747.86 lbs.;1900 kg 4188.78 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;Brak danych;104-112 g/km;119-142 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;7 biegów, automatyczna skrzynia biegów S tronic;5.5 l 5.81 US qt | 4.84 UK qt;Rzędowy;2024 r;4;4;5;4;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-35-tdi-163hp-mild-hybrid-s-tronic-42539;610 kg 1344.82 lbs.;Audi;1485 kg 3273.86 lbs.;460 l 16.24 cu. ft.;11.6 m 38.06 ft.;163 KM @ 3250-4200 obr./min.;82.8 KM/l;A4;DEZE;35 TDI (163 KM) Mild Hybrid S tronic;370 Nm @ 1500-3000 obr./min. 272.9 lb.-ft. @ 1500-3000 obr./min.;Napęd na przednie koła;Wrzesień, 2020 r;1968 cm3 120.09 cu. in.;8.2 s;7.8 s;8.2 s;210 km/h 130.49 mph;7 J x 16;205/60 R16;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;95.5 mm 3.76 in.;Zaloguj się, aby zobaczyć.;Euro 6d-ISC-FCM;16:1;4 kg/Nm, 249.2 Nm/tonę;9.1 kg/KM, 109.8 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Olej napędowy;Przekładnia zębatkowa;Z przodu, wzdłuż;Diesel common rail;System start-stopFiltr cząstek stałych;Wspomaganie elektryczne;0.25;1431 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;40 l 10.57 US gal | 8.8 UK gal;4.6-5.4 l/100 km 51.13 - 43.56 US mpg61.41 - 52.31 UK mpg21.74 - 18.52 km/l;Brak danych;4.9-5.1 l/100 km 48 - 46.12 US mpg57.65 - 55.39 UK mpg20.41 - 19.61 km/l;Brak danych;4.0-4.3 l/100 km 58.8 - 54.7 US mpg70.62 - 65.69 UK mpg25 - 23.26 km/l;Brak danych;3.4-3.7 l/100 km 69.18 - 63.57 US mpg83.08 - 76.35 UK mpg29.41 - 27.03 km/l;8 l 8.45 US qt | 7.04 UK qt;12 l 3.17 US gal | 2.64 UK gal;899 mm 35.39 in.;1043 mm 41.06 in.;81 mm 3.19 in.
Silnik spalinowy;SSW wprowadza w ruch przednie koła samochodu.;Turbo kompresor , Intercooler;2090 kg 4607.66 lbs.;750 kg 1653.47 lbs.;1500 kg 3306.93 lbs.;1700 kg 3747.86 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;102-112 g/km;Brak danych;134-148 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;7 biegów, automatyczna skrzynia biegów S tronic;5.5 l 5.81 US qt | 4.84 UK qt;Rzędowy;Sierpień, 2020 r;4;4;5;Brak danych;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-30-tdi-136hp-s-tronic-37522;600 kg 1322.77 lbs.;Audi;1490 kg 3284.89 lbs.;Brak danych;11.6 m 38.06 ft.;136 KM @ 3000-4400 obr./min.;69.1 KM/l;A4;DEZB;30 TDI (136 KM) S tronic;320 Nm @ 1500-2750 obr./min. 236.02 lb.-ft. @ 1500-2750 obr./min.;Napęd na przednie koła;Może, 2019 r;1968 cm3 120.09 cu. in.;9.5 s;9 s;9.5 s;214 km/h 132.97 mph;Brak danych;Brak danych;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;Brak danych;Zaloguj się, aby zobaczyć.;Euro 6d - TEMP - EVAP - ISC;Brak danych;4.7 kg/Nm, 214.8 Nm/tonę;11 kg/KM, 91.3 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Olej napędowy;Przekładnia zębatkowa;Z przodu, wzdłuż;Diesel common rail;Filtr cząstek stałych;Wspomaganie elektryczne;Brak danych;1428 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;40 l 10.57 US gal | 8.8 UK gal;5.0-5.6 l/100 km 47.04 - 42 US mpg56.5 - 50.44 UK mpg20 - 17.86 km/l;4.4-4.7 l/100 km 53.46 - 50.05 US mpg64.2 - 60.1 UK mpg22.73 - 21.28 km/l;Brak danych;3.9-4.3 l/100 km 60.31 - 54.7 US mpg72.43 - 65.69 UK mpg25.64 - 23.26 km/l;Brak danych;3.6-4.0 l/100 km 65.34 - 58.8 US mpg78.47 - 70.62 UK mpg27.78 - 25 km/l;Brak danych;Brak danych;Brak danych;899 mm 35.39 in.;1043 mm 41.06 in.;Brak danych
MHEV (łagodny układ hybrydowy);SSW oraz motor elektryczny wprowadzają w ruch przednie koła pojazdu z możliwością jazdy wyłącznie w trybie mieszanym.;Turbo kompresor , Intercooler;2090 kg 4607.66 lbs.;750 kg 1653.47 lbs.;1500 kg 3306.93 lbs.;1700 kg 3747.86 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;Brak danych;106-114 g/km;119-141 g/km;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;7 biegów, automatyczna skrzynia biegów S tronic;5.5 l 5.81 US qt | 4.84 UK qt;Rzędowy;2024 r;4;4;5;4;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-30-tdi-136hp-mild-hybrid-s-tronic-42538;615 kg 1355.84 lbs.;Audi;1475 kg 3251.82 lbs.;460 l 16.24 cu. ft.;11.6 m 38.06 ft.;136 KM @ 3000-4200 obr./min.;69.1 KM/l;A4;DEZB;30 TDI (136 KM) Mild Hybrid S tronic;320 Nm @ 1500-2750 obr./min. 236.02 lb.-ft. @ 1500-2750 obr./min.;Napęd na przednie koła;Wrzesień, 2020 r;1968 cm3 120.09 cu. in.;9.5 s;9 s;9.5 s;210 km/h 130.49 mph;7 J x 16;205/60 R16;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;95.5 mm 3.76 in.;Zaloguj się, aby zobaczyć.;Euro 6d-ISC-FCM;16:1;4.6 kg/Nm, 216.9 Nm/tonę;10.8 kg/KM, 92.2 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Olej napędowy;Przekładnia zębatkowa;Z przodu, wzdłuż;Diesel common rail;System start-stopFiltr cząstek stałych;Wspomaganie elektryczne;0.25;1431 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;40 l 10.57 US gal | 8.8 UK gal;4.5-5.4 l/100 km 52.27 - 43.56 US mpg62.77 - 52.31 UK mpg22.22 - 18.52 km/l;Brak danych;5.0-5.2 l/100 km 47.04 - 45.23 US mpg56.5 - 54.32 UK mpg20 - 19.23 km/l;Brak danych;4.0-4.3 l/100 km 58.8 - 54.7 US mpg70.62 - 65.69 UK mpg25 - 23.26 km/l;Brak danych;3.5-3.8 l/100 km 67.2 - 61.9 US mpg80.71 - 74.34 UK mpg28.57 - 26.32 km/l;11.2 l 11.83 US qt | 9.85 UK qt;12 l 3.17 US gal | 2.64 UK gal;899 mm 35.39 in.;1043 mm 41.06 in.;81 mm 3.19 in.
Silnik spalinowy;SSW wprowadza w ruch przednie koła samochodu.;Turbo kompresor , Intercooler;2060 kg 4541.52 lbs.;750 kg 1653.47 lbs.;1300 kg 2866.01 lbs.;1500 kg 3306.93 lbs.;90 kg 198.42 lbs.;80 kg 176.37 lbs.;4762 mm;106-114 g/km;Brak danych;Brak danych;A4 (B9 8W, facelift 2019);Tarczowe wentylowane;Tarczowe;6 biegów, ręczna skrzynia biegów;4.7 l 4.97 US qt | 4.14 UK qt;Rzędowy;Czerwiec, 2020 r;4;4;5;Brak danych;https://www.auto-data.net/pl/audi-a4-b9-8w-facelift-2019-30-tdi-122hp-38311;630 kg 1388.91 lbs.;Audi;1430 kg 3152.61 lbs.;460 l 16.24 cu. ft.;11.6 m 38.06 ft.;122 KM @ 3500-4000 obr./min.;62 KM/l;A4;DEUC;30 TDI (122 KM);270 Nm @ 1500-3000 obr./min. 199.14 lb.-ft. @ 1500-3000 obr./min.;Napęd na przednie koła;Październik, 2019 r;1968 cm3 120.09 cu. in.;10.9 s;10.4 s;10.9 s;205 km/h 127.38 mph;7 J x 16;205/60 R16;1572 mm 61.89 in.;1555 mm 61.22 in.;2820 mm;Brak danych;Zaloguj się, aby zobaczyć.;Euro 6d - TEMP - EVAP - ISC;Brak danych;5.3 kg/Nm, 188.8 Nm/tonę;11.7 kg/KM, 85.3 KM/tonę;ABS (motoryzacja);1847 mm;2022 mm 79.61 in.;Sedan;Olej napędowy;Przekładnia zębatkowa;Z przodu, wzdłuż;Diesel common rail;Filtr cząstek stałych;Wspomaganie elektryczne;Brak danych;1428 mm;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;40 l 10.57 US gal | 8.8 UK gal;Brak danych;4.8-5.0 l/100 km 49 - 47.04 US mpg58.85 - 56.5 UK mpg20.83 - 20 km/l;Brak danych;4.0-4.3 l/100 km 58.8 - 54.7 US mpg70.62 - 65.69 UK mpg25 - 23.26 km/l;Brak danych;3.6-3.9 l/100 km 65.34 - 60.31 US mpg78.47 - 72.43 UK mpg27.78 - 25.64 km/l;Brak danych;Brak danych;Brak danych;899 mm 35.39 in.;1043 mm 41.06 in.;Brak danych
