Pełna nazwa;Marka;Model;Link;Liczba drzwi;Liczba miejsc;Średnica zawracania;Promień skrętu;Długość;Szerokość;Szerokość z lusterkami bocznymi;Wysokość;Rozstaw osi;Rozstaw kół - przód;Rozstaw kół - tył;Zwis przedni;Zwis tylny;Prześwit;Długość z hakiem holowniczym;Szerokość ze złożonymi lusterkami bocznymi;Szerokość przy otwartych drzwiach z przodu;Szerokość przy otwartych drzwiach z tyłu;Wysokość z relingami dachowymi;Wysokość z anteną;Wysokość przy otwartej klapie bagażnika;Wysokość przy otwartej pokrywie silnika;Prześwit 4x4;Odległość oparcia fotela przedniego od kierownicy;Długość kolumny kierownicy;Odległość oparcia przedniego od komory silnika;Odległość od siedziska przedniego do dachu;Wysokość siedziska przedniego;Długość siedziska przedniego;Wysokość oparcia przedniego;Odległość pomiędzy siedzeniami przednimi i tylnymi;Odległość od siedziska tylnego do dachu;Odległość od podłogi do siedziska tylnego;Długość siedziska tylnego;Wysokość oparcia tylnego;Szerokość nad podłokietnikami z przodu;Szerokość nad podłokietnikami z tyłu;Szerokość na wysokości podłokietników z przodu;Szerokość na wysokości podłokietników z tyłu;Przestrzeń wsiadania z przodu - szerokość;Przestrzeń wsiadania z przodu - wysokość;Przestrzeń wsiadania z tyłu - szerokość;Przestrzeń wsiadania z tyłu - wysokość;Zakres przesuwania foteli przednich;Całkowita długość wnętrza kabiny;Całkowita szerokość wnętrza kabiny;Całkowita wysokość wnętrza kabiny;Maksymalna pojemność bagażnika (siedzenia złożone);Minimalna pojemność bagażnika (siedzenia rozłożone);Szerokość pomiędzy nadkolami;Wysokość bagażnika;Szerokość bagażnika;Długość do oparcia tylnej kanapy;Długość ze złożoną tylną kanapą;Wysokość progu załadowczego;Kąt natarcia;Kąt rampowy;Kąt zejścia;Kąt przechyłu bocznego;Możliwość podjazdu;Głębokość brodzenia;Maksymalna ładowność;Dopuszczalne obciążenie dachu;Powierzchnia „przejrzysta” przedniej szyby;Całkowita powierzchnia „przejrzysta” szyb;Produkowany;Pojemność skokowa;Typ silnika;Moc silnika;Maksymalny moment obrotowy;Moc silnika (spalinowy);Maksymalny moment obrotowy (spalinowy);Moc silnika (elektryczny);Maksymalny moment obrotowy (elektryczny);Montaż silnika;Doładowanie;Umiejscowienie wałka rozrządu;Liczba cylindrów;Układ cylindrów;Liczba zaworów;Stopień sprężania;Zapłon;Typ wtrysku;Liczba silników;Średnica cylindra × skok tłoka;Układ paliwowy;Dodatkowe informacje;Rodzaj układu kierowniczego;Opony podstawowe;Opony opcjonalne;Felgi podstawowe;Felgi opcjonalne;Rozstaw śrub;Rodzaj hamulców (przód);Rodzaj hamulców (tył);Hamowanie (100 do 0km/h) z ABS;Typ układu hamulcowego;Grubość tarcz hamulcowych (przód);Grubość tarcz hamulcowych (tył);Średnica tarcz hamulcowych (przód);Średnica tarcz hamulcowych (tył);Rodzaj zawieszenia (przód);Rodzaj zawieszenia  (tył);Amortyzatory;Rodzaj skrzyni;Nazwa skrzyni;Liczba stopni;Rodzaj napędu;Rodzaj sprzęgła;Prędkość maksymalna;Przyspieszenie (od 0 do 100km/h);400 metrów ze startu zatrzymanego;1000 metrów ze startu zatrzymanego;Średnie spalanie (cykl mieszany);Spalanie na trasie (na autostradzie);Spalanie w mieście;Pojemność akumulatora brutto;Typ ładowarki;Chłodzenie akumulatora;Pojemność akumulatora netto;Metodologia pomiaru zasięgu;Zużycie energii;Maksymalny zasięg przy oszczędnej jeździe na długiej trasie;Średni maksymalny zasięg;Średni minimalny zasięg;Maksymalna moc ładowania DC;Maksymalna moc ładowania AC;Stacja szybkiego ładowania;Gniazdko 3F/Stacja AC;Gniazdko 1F;Pojemność zbiornika paliwa;Zasięg (cykl mieszany);Zasięg (autostrada);Zasięg (miasto);Emisja CO₂;Norma emisji spalin;Minimalna masa własna pojazdu (bez obciążenia);Maksymalna masa całkowita pojazdu (w pełni obciążonego);Maksymalna masa przyczepy z hamulcami;Maksymalna masa przyczepy bez hamulców;Maksymalny nacisk na hak;Pojemność akumulatora;Pojemność akumulatora w wersji z klimatyzacja;System start&stop;Kod silnika
Audi A7 Sportback C8 40 Tdi 204hp S Tronic Mild Hybrid;Audi;A7;https://www.auto-data.net/pl/audi-a7-sportback-c8-40-tdi-204hp-s-tronic-mild-hybrid-33866;5;5;brak danych;brak danych;4969 mm;1908 mm;2118 mm;1422 mm;2926 mm;1651 mm;1637 mm;927 mm;1116 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;535 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;100 kg;brak danych;brak danych;od 2018 r do 2023 r;brak danych;brak danych;brak danych;400 Nm przy 1750 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;4;brak danych;4;brak danych;brak danych;Diesel common rail;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;brak danych;brak danych;brak danych;brak danych;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;automatyczna;brak danych;7 biegów;na przednią oś;brak danych;245 km/h;8.3 s;brak danych;brak danych;4.9 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;63 l;brak danych;brak danych;brak danych;117 g/km;Euro 6;1700 kg;brak danych;brak danych;750 kg;2000 kg;brak danych;brak danych;brak danych;DFBA
Audi A7 Sportback C8 40 Tdi 204hp Quattro Ultra S Tronic;Audi;A7;https://www.auto-data.net/pl/audi-a7-sportback-c8-40-tdi-204hp-quattro-ultra-s-tronic-35836;5;5;brak danych;brak danych;4969 mm;1908 mm;2118 mm;1422 mm;2926 mm;1651 mm;1637 mm;927 mm;1116 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;535 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;90 kg;brak danych;brak danych;od 2018 r do 2020 r;brak danych;brak danych;brak danych;400 Nm przy 1750 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;4;brak danych;4;brak danych;brak danych;Diesel common rail;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;225/55 R18;brak danych;brak danych;brak danych;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;7 biegów;4x4;brak danych;245 km/h;7.8 s;brak danych;brak danych;4.6 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;63 l;brak danych;brak danych;brak danych;115 g/km;Euro 6d - TEMP;1760 kg;675 kg;brak danych;750 kg;2000 kg;brak danych;brak danych;brak danych;DFBA
Audi A8 D5 60 Tfsi V8 460hp Mild Hybrid Quattro Tiptronic;Audi;A8;https://www.auto-data.net/pl/audi-a8-d5-60-tfsi-v8-460hp-mild-hybrid-quattro-tiptronic-44032;4;5;brak danych;11.4 m;5172 mm;1945 mm;2130 mm;1473 mm;2998 mm;1644 mm;1633 mm;989 mm;1185 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;505 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;90 kg;brak danych;brak danych;od 2020 r do 2021 r;brak danych;brak danych;brak danych;660 Nm przy 1850 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;DOHC;8;brak danych;4;11.1:1;brak danych;Wtrysk bezpośredni;brak danych;86 mm;brak danych;brak danych;Przekładnia zębatkowa;255/45 R19;brak danych;9J x 19;brak danych;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;brak danych;automatyczna;brak danych;8 biegów;4x4;brak danych;250 km/h;4.4 s;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;82 l;brak danych;brak danych;brak danych;brak danych;Euro-6d-ISC-FCM;2050 kg;715 kg;brak danych;750 kg;2300 kg;brak danych;brak danych;brak danych;CXYA
Audi A8 D5 60 Tfsi E 449hp Plug In Hybrid Quattro Tiptronic;Audi;A8;https://www.auto-data.net/pl/audi-a8-d5-60-tfsi-e-449hp-plug-in-hybrid-quattro-tiptronic-37916;4;4;brak danych;12.5 m;5172 mm;1945 mm;2130 mm;1473 mm;2998 mm;1644 mm;1633 mm;989 mm;1185 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;390 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;90 kg;brak danych;brak danych;od 2019 r do 2021 r;brak danych;brak danych;brak danych;500 Nm przy 1370 obr/min;brak danych;brak danych;brak danych;350 Nm;brak danych;brak danych;brak danych;6;brak danych;brak danych;brak danych;brak danych;Wtrysk bezpośredni;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;255/45 R19;brak danych;9J x 19;brak danych;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;8 biegów;4x4;brak danych;250 km/h;4.9 s;brak danych;brak danych;2.5 l/100 km;brak danych;brak danych;14.1 kWh;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;65 l;brak danych;brak danych;brak danych;57 g/km;Euro 6d-TEMP-EVAP-ISC;2300 kg;590 kg;brak danych;brak danych;brak danych;14.1 kWh;brak danych;brak danych;EA839CZSE
Audi A8 D5 60 Tdi V8 435hp Mild Hybrid Quattro Tiptronic;Audi;A8;https://www.auto-data.net/pl/audi-a8-d5-60-tdi-v8-435hp-mild-hybrid-quattro-tiptronic-44953;4;5;brak danych;11.4 m;5172 mm;1945 mm;2130 mm;1473 mm;2998 mm;1644 mm;1633 mm;989 mm;1185 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;505 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;90 kg;brak danych;brak danych;od 2019 r do 2020 r;brak danych;brak danych;brak danych;900 Nm przy 1250 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;DOHC;8;brak danych;4;16:1;brak danych;Diesel common rail;brak danych;83 mm;brak danych;brak danych;Przekładnia zębatkowa;255/45 R19;265/40 R20;9J x 19;9J x 20;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;brak danych;automatyczna;brak danych;8 biegów;4x4;brak danych;250 km/h;4.4 s;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;82 l;brak danych;brak danych;brak danych;brak danych;Euro 6d-TEMP-EVAP-ISC;2190 kg;710 kg;brak danych;750 kg;2300 kg;brak danych;brak danych;brak danych;CVXB
Audi A8 D5 55 Tfsi V6 340hp Mild Hybrid Quattro Tiptronic;Audi;A8;https://www.auto-data.net/pl/audi-a8-d5-55-tfsi-v6-340hp-mild-hybrid-quattro-tiptronic-37581;4;5;brak danych;12.5 m;5172 mm;1945 mm;2130 mm;1473 mm;2998 mm;1644 mm;1633 mm;989 mm;1185 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;505 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;14°;brak danych;13.7°;brak danych;brak danych;brak danych;brak danych;100 kg;brak danych;brak danych;od 2019 r do 2021 r;brak danych;brak danych;brak danych;500 Nm przy 1370 obr/min;brak danych;brak danych;brak danych;60 Nm;brak danych;brak danych;DOHC;6;brak danych;4;11.2:1;brak danych;Wtrysk bezpośredni;brak danych;84.5 mm;brak danych;brak danych;Przekładnia zębatkowa;235/55 R18;255/45 R19;8J x 18;9J x 19;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;brak danych;automatyczna;brak danych;8 biegów;4x4;brak danych;250 km/h;5.6 s;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;72 l;brak danych;brak danych;brak danych;brak danych;Euro 6d-TEMP-EVAP-ISC;1920 kg;760 kg;brak danych;750 kg;2300 kg;brak danych;brak danych;brak danych;EA839CZSE
Audi A8 D5 50 Tdi V6 286hp Mild Hybrid Quattro Tiptronic;Audi;A8;https://www.auto-data.net/pl/audi-a8-d5-50-tdi-v6-286hp-mild-hybrid-quattro-tiptronic-37607;4;5;brak danych;12.5 m;5172 mm;1945 mm;2130 mm;1473 mm;2998 mm;1644 mm;1633 mm;989 mm;1185 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;505 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;14°;brak danych;13.7°;brak danych;brak danych;brak danych;brak danych;100 kg;brak danych;brak danych;od 2019 r do 2021 r;brak danych;brak danych;brak danych;600 Nm przy 1250 obr/min;brak danych;brak danych;brak danych;60 Nm;brak danych;brak danych;DOHC;6;brak danych;4;16:1;brak danych;Diesel common rail;brak danych;83 mm;brak danych;brak danych;Przekładnia zębatkowa;235/60 R17;235/55 R18;8J x 17;8J x 18;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;brak danych;automatyczna;brak danych;8 biegów;4x4;brak danych;250 km/h;5.9 s;brak danych;brak danych;6.1 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;72 l;brak danych;brak danych;brak danych;151 g/km;Euro 6d-TEMP-EVAP-ISC;1975 kg;715 kg;brak danych;750 kg;2300 kg;brak danych;brak danych;brak danych;EA897evo2DDVC
Audi A8 Long D5 60 Tfsi V8 460hp Mild Hybrid Quattro Tiptronic;Audi;A8;https://www.auto-data.net/pl/audi-a8-long-d5-60-tfsi-v8-460hp-mild-hybrid-quattro-tiptronic-44033;4;5;brak danych;11.8 m;5302 mm;1945 mm;2130 mm;1485 mm;3128 mm;1644 mm;1633 mm;989 mm;1185 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;505 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;75 kg;brak danych;brak danych;od 2020 r do 2021 r;brak danych;brak danych;brak danych;660 Nm przy 1850 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;DOHC;8;brak danych;4;11.1:1;brak danych;Wtrysk bezpośredni;brak danych;86 mm;brak danych;brak danych;Przekładnia zębatkowa;255/45 R19;brak danych;9J x 19;brak danych;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;brak danych;automatyczna;brak danych;8 biegów;4x4;brak danych;250 km/h;4.5 s;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;82 l;brak danych;brak danych;brak danych;brak danych;Euro-6d-ISC-FCM;2080 kg;740 kg;brak danych;750 kg;2300 kg;brak danych;brak danych;brak danych;CXYA
Audi A8 Long D5 60 Tfsi E 449hp Plug In Hybrid Quattro Tiptronic;Audi;A8;https://www.auto-data.net/pl/audi-a8-long-d5-60-tfsi-e-449hp-plug-in-hybrid-quattro-tiptronic-37891;4;5;brak danych;12.9 m;5302 mm;1945 mm;2130 mm;1486 mm;3128 mm;1635 mm;1623 mm;989 mm;1185 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;390 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;75 kg;brak danych;brak danych;od 2019 r do 2021 r;brak danych;brak danych;brak danych;500 Nm przy 1370 obr/min;brak danych;brak danych;brak danych;350 Nm;brak danych;brak danych;DOHC;6;brak danych;4;11.2:1;brak danych;Wtrysk bezpośredni;brak danych;84.5 mm;brak danych;brak danych;Przekładnia zębatkowa;255/45 R19;265/40 R20;9J x 19;9J x 20;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;brak danych;automatyczna;brak danych;8 biegów;4x4;brak danych;250 km/h;4.9 s;brak danych;brak danych;brak danych;brak danych;brak danych;14.1 kWh;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;65 l;brak danych;brak danych;brak danych;brak danych;Euro 6d-TEMP-EVAP-ISC;2330 kg;590 kg;brak danych;brak danych;brak danych;14.1 kWh;brak danych;brak danych;EA839CZSE
Audi A8 Long D5 60 Tdi V8 435hp Mild Hybrid Quattro Tiptronic;Audi;A8;https://www.auto-data.net/pl/audi-a8-long-d5-60-tdi-v8-435hp-mild-hybrid-quattro-tiptronic-44954;4;4;brak danych;11.8 m;5302 mm;1945 mm;2130 mm;1485 mm;3128 mm;1644 mm;1633 mm;989 mm;1185 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;505 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;75 kg;brak danych;brak danych;od 2019 r do 2020 r;brak danych;brak danych;brak danych;900 Nm przy 1250 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;DOHC;8;brak danych;4;16:1;brak danych;Diesel common rail;brak danych;83 mm;brak danych;brak danych;Przekładnia zębatkowa;255/45 R19;265/40 R20;9J x 19;9J x 20;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;brak danych;automatyczna;brak danych;8 biegów;4x4;brak danych;250 km/h;4.4 s;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;82 l;brak danych;brak danych;brak danych;brak danych;Euro 6d-TEMP-EVAP-ISC;2210 kg;740 kg;brak danych;750 kg;2300 kg;brak danych;brak danych;brak danych;CVXB
Audi A8 Long D5 55 Tfsi V6 340hp Mild Hybrid Quattro Tiptronic;Audi;A8;https://www.auto-data.net/pl/audi-a8-long-d5-55-tfsi-v6-340hp-mild-hybrid-quattro-tiptronic-37658;4;5;brak danych;12.9 m;5302 mm;1945 mm;2130 mm;1485 mm;3128 mm;1644 mm;1633 mm;989 mm;1185 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;505 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;14°;brak danych;13.7°;brak danych;brak danych;brak danych;brak danych;100 kg;brak danych;brak danych;od 2019 r do 2021 r;brak danych;brak danych;brak danych;500 Nm przy 1370 obr/min;brak danych;brak danych;brak danych;60 Nm;brak danych;brak danych;DOHC;6;brak danych;4;11.2:1;brak danych;Wtrysk bezpośredni;brak danych;84.5 mm;brak danych;brak danych;Przekładnia zębatkowa;235/55 R18;255/45 R19;8J x 18;9J x 19;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;brak danych;automatyczna;brak danych;8 biegów;4x4;brak danych;250 km/h;5.7 s;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;72 l;brak danych;brak danych;brak danych;brak danych;Euro 6d-TEMP-EVAP-ISC;1945 kg;800 kg;brak danych;750 kg;2300 kg;brak danych;brak danych;brak danych;EA839CZSE
Audi A8 Long D5 50 Tdi V6 286hp Mild Hybrid Quattro Tiptronic;Audi;A8;https://www.auto-data.net/pl/audi-a8-long-d5-50-tdi-v6-286hp-mild-hybrid-quattro-tiptronic-37598;4;5;brak danych;12.9 m;5302 mm;1945 mm;2130 mm;1485 mm;3128 mm;1644 mm;1633 mm;989 mm;1185 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;505 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;14°;brak danych;13.7°;brak danych;brak danych;brak danych;brak danych;100 kg;brak danych;brak danych;od 2019 r do 2021 r;brak danych;brak danych;brak danych;600 Nm przy 1250 obr/min;brak danych;brak danych;brak danych;60 Nm;brak danych;brak danych;DOHC;6;brak danych;4;16:1;brak danych;Diesel common rail;brak danych;83 mm;brak danych;brak danych;Przekładnia zębatkowa;235/60 R17;235/55 R18;8J x 17;8J x 18;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;Niezależne zawieszenie wielowahaczowe, Zawieszenie pneumatyczne;brak danych;automatyczna;brak danych;8 biegów;4x4;brak danych;250 km/h;5.9 s;brak danych;brak danych;6.0 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;72 l;brak danych;brak danych;brak danych;152 g/km;Euro 6d-TEMP-EVAP-ISC;2000 kg;700 kg;brak danych;750 kg;2300 kg;brak danych;brak danych;brak danych;EA897evo2DDVC
