Pełna nazwa;Marka;Model;Link;Liczba drzwi;Liczba miejsc;Średnica zawracania;Promień skrętu;Długość;Szerokość;Szerokość z lusterkami bocznymi;Wysokość;Rozstaw osi;Rozstaw kół - przód;Rozstaw kół - tył;Zwis przedni;Zwis tylny;Prześwit;Długość z hakiem holowniczym;Szerokość ze złożonymi lusterkami bocznymi;Szerokość przy otwartych drzwiach z przodu;Szerokość przy otwartych drzwiach z tyłu;Wysokość z relingami dachowymi;Wysokość z anteną;Wysokość przy otwartej klapie bagażnika;Wysokość przy otwartej pokrywie silnika;Prześwit 4x4;Odległość oparcia fotela przedniego od kierownicy;Długość kolumny kierownicy;Odległość oparcia przedniego od komory silnika;Odległość od siedziska przedniego do dachu;Wysokość siedziska przedniego;Długość siedziska przedniego;Wysokość oparcia przedniego;Odległość pomiędzy siedzeniami przednimi i tylnymi;Odległość od siedziska tylnego do dachu;Odległość od podłogi do siedziska tylnego;Długość siedziska tylnego;Wysokość oparcia tylnego;Szerokość nad podłokietnikami z przodu;Szerokość nad podłokietnikami z tyłu;Szerokość na wysokości podłokietników z przodu;Szerokość na wysokości podłokietników z tyłu;Przestrzeń wsiadania z przodu - szerokość;Przestrzeń wsiadania z przodu - wysokość;Przestrzeń wsiadania z tyłu - szerokość;Przestrzeń wsiadania z tyłu - wysokość;Zakres przesuwania foteli przednich;Całkowita długość wnętrza kabiny;Całkowita szerokość wnętrza kabiny;Całkowita wysokość wnętrza kabiny;Maksymalna pojemność bagażnika (siedzenia złożone);Minimalna pojemność bagażnika (siedzenia rozłożone);Szerokość pomiędzy nadkolami;Wysokość bagażnika;Szerokość bagażnika;Długość do oparcia tylnej kanapy;Długość ze złożoną tylną kanapą;Wysokość progu załadowczego;Kąt natarcia;Kąt rampowy;Kąt zejścia;Kąt przechyłu bocznego;Możliwość podjazdu;Głębokość brodzenia;Maksymalna ładowność;Dopuszczalne obciążenie dachu;Powierzchnia „przejrzysta” przedniej szyby;Całkowita powierzchnia „przejrzysta” szyb;Produkowany;Pojemność skokowa;Typ silnika;Moc silnika;Maksymalny moment obrotowy;Moc silnika (spalinowy);Maksymalny moment obrotowy (spalinowy);Moc silnika (elektryczny);Maksymalny moment obrotowy (elektryczny);Montaż silnika;Doładowanie;Umiejscowienie wałka rozrządu;Liczba cylindrów;Układ cylindrów;Liczba zaworów;Stopień sprężania;Zapłon;Typ wtrysku;Liczba silników;Średnica cylindra × skok tłoka;Układ paliwowy;Dodatkowe informacje;Rodzaj układu kierowniczego;Opony podstawowe;Opony opcjonalne;Felgi podstawowe;Felgi opcjonalne;Rozstaw śrub;Rodzaj hamulców (przód);Rodzaj hamulców (tył);Hamowanie (100 do 0km/h) z ABS;Typ układu hamulcowego;Grubość tarcz hamulcowych (przód);Grubość tarcz hamulcowych (tył);Średnica tarcz hamulcowych (przód);Średnica tarcz hamulcowych (tył);Rodzaj zawieszenia (przód);Rodzaj zawieszenia  (tył);Amortyzatory;Rodzaj skrzyni;Nazwa skrzyni;Liczba stopni;Rodzaj napędu;Rodzaj sprzęgła;Prędkość maksymalna;Przyspieszenie (od 0 do 100km/h);400 metrów ze startu zatrzymanego;1000 metrów ze startu zatrzymanego;Średnie spalanie (cykl mieszany);Spalanie na trasie (na autostradzie);Spalanie w mieście;Pojemność akumulatora brutto;Typ ładowarki;Chłodzenie akumulatora;Pojemność akumulatora netto;Metodologia pomiaru zasięgu;Zużycie energii;Maksymalny zasięg przy oszczędnej jeździe na długiej trasie;Średni maksymalny zasięg;Średni minimalny zasięg;Maksymalna moc ładowania DC;Maksymalna moc ładowania AC;Stacja szybkiego ładowania;Gniazdko 3F/Stacja AC;Gniazdko 1F;Pojemność zbiornika paliwa;Zasięg (cykl mieszany);Zasięg (autostrada);Zasięg (miasto);Emisja CO₂;Norma emisji spalin;Minimalna masa własna pojazdu (bez obciążenia);Maksymalna masa całkowita pojazdu (w pełni obciążonego);Maksymalna masa przyczepy z hamulcami;Maksymalna masa przyczepy bez hamulców;Maksymalny nacisk na hak;Pojemność akumulatora;Pojemność akumulatora w wersji z klimatyzacja;System start&stop;Kod silnika
Audi A7 Sportback C8 55 Tfsi E 367hp Plug In Hybrid Quattro Ultra S Tronic;Audi;A7;https://www.auto-data.net/pl/audi-a7-sportback-c8-55-tfsi-e-367hp-plug-in-hybrid-quattro-ultra-s-tronic-37660;5;5;brak danych;12.4 m;4969 mm;1908 mm;2118 mm;1422 mm;2926 mm;1651 mm;1637 mm;927 mm;1116 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1235 l;380 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;100 kg;brak danych;brak danych;od 2019 r do 2020 r;brak danych;brak danych;brak danych;370 Nm przy 1600 obr/min;brak danych;brak danych;brak danych;350 Nm;brak danych;brak danych;DOHC;4;brak danych;4;9.6:1;brak danych;Wtrysk bezpośredni;brak danych;82.5 mm;brak danych;brak danych;Przekładnia zębatkowa;245/45 R19;255/40 R20;8.5J x 19;8.5J x 20;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, stabilizator poprzeczny;Niezależne zawieszenie wielowahaczowe, stabilizator poprzeczny;brak danych;automatyczna;brak danych;7 biegów;4x4;brak danych;250 km/h;5.7 s;brak danych;brak danych;brak danych;brak danych;brak danych;14.1 kWh;brak danych;brak danych;brak danych;brak danych;17.5 kWh/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;52 l;brak danych;brak danych;brak danych;brak danych;Euro 6d-TEMP-EVAP-ISC;2065 kg;585 kg;brak danych;750 kg;2000 kg;14.1 kWh;brak danych;brak danych;DLGA
Audi A7 Sportback C8 50 Tfsi E 299hp Plug In Hybrid Quattro Ultra S Tronic;Audi;A7;https://www.auto-data.net/pl/audi-a7-sportback-c8-50-tfsi-e-299hp-plug-in-hybrid-quattro-ultra-s-tronic-45397;5;5;brak danych;12.2 m;4969 mm;1908 mm;2118 mm;1421 mm;2926 mm;1651 mm;1637 mm;927 mm;1116 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1235 l;380 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;13.1°;brak danych;12.3°;brak danych;brak danych;brak danych;brak danych;90 kg;brak danych;brak danych;od 2021 r do 2023 r;brak danych;brak danych;brak danych;370 Nm przy 1600 obr/min;brak danych;brak danych;brak danych;350 Nm;brak danych;brak danych;DOHC;4;brak danych;4;9.6:1;brak danych;Wtrysk bezpośredni;brak danych;82.5 mm;brak danych;brak danych;Przekładnia zębatkowa;245/45 R19;255/40 R20;8.5J x 19;8.5J x 20;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe, stabilizator poprzeczny;Niezależne zawieszenie wielowahaczowe, stabilizator poprzeczny;brak danych;automatyczna;brak danych;7 biegów;4x4;brak danych;250 km/h;6.3 s;brak danych;brak danych;brak danych;brak danych;brak danych;17.9 kWh;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;52 l;brak danych;brak danych;brak danych;brak danych;Euro 6d-ISC-FCM;2065 kg;585 kg;brak danych;750 kg;2000 kg;17.9 kWh;brak danych;brak danych;DRYA
Audi A7 Sportback C8 50 Tdi V6 286hp Mild Hybrid Quattro Tiptronic;Audi;A7;https://www.auto-data.net/pl/audi-a7-sportback-c8-50-tdi-v6-286hp-mild-hybrid-quattro-tiptronic-50758;5;5;brak danych;12.2 m;4969 mm;1908 mm;2118 mm;1422 mm;2926 mm;1651 mm;1637 mm;927 mm;1116 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1390 l;535 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;12.4°;brak danych;14.1°;brak danych;brak danych;brak danych;brak danych;90 kg;brak danych;brak danych;od 2020 r do 2023 r;brak danych;brak danych;brak danych;620 Nm przy 1750 obr/min;brak danych;brak danych;brak danych;60 Nm;brak danych;brak danych;DOHC;6;brak danych;4;16.3:1;brak danych;Diesel common rail;brak danych;83 mm;brak danych;brak danych;Przekładnia zębatkowa;225/55 R18;245/45 R19;8J x 18;8.5J x 19;brak danych;Tarczowe wentylowane, 350x34 mm;Tarczowe wentylowane , 330x22 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;8 biegów;4x4;brak danych;250 km/h;5.6 s;brak danych;brak danych;5.9 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;63 l;brak danych;brak danych;brak danych;152 g/km;Euro 6d-ISC-FCM;1880 kg;655 kg;brak danych;750 kg;2000 kg;brak danych;brak danych;brak danych;EA897evo3DMGA
Audi A7 Sportback C8 50 Tdi 286hp Quattro Tiptronic Mild Hybrid;Audi;A7;https://www.auto-data.net/pl/audi-a7-sportback-c8-50-tdi-286hp-quattro-tiptronic-mild-hybrid-32721;5;5;brak danych;brak danych;4969 mm;1908 mm;2118 mm;1422 mm;2926 mm;1651 mm;1637 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;535 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;90 kg;brak danych;brak danych;od 2018 r do 2020 r;brak danych;brak danych;brak danych;620 Nm przy 2250 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;6;brak danych;4;16:1;brak danych;Diesel common rail;brak danych;83 mm;brak danych;brak danych;Przekładnia zębatkowa;225/55 R18;245/45 R19;8.0J x 18;brak danych;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;8 biegów;4x4;brak danych;250 km/h;5.7 s;brak danych;brak danych;5.8 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;63 l;brak danych;brak danych;brak danych;142 g/km;Euro 6;1880 kg;655 kg;brak danych;750 kg;2000 kg;brak danych;brak danych;brak danych;EA897evo2DDVB
Audi A7 Sportback C8 45 Tfsi 265hp Mild Hybrid S Tronic;Audi;A7;https://www.auto-data.net/pl/audi-a7-sportback-c8-45-tfsi-265hp-mild-hybrid-s-tronic-44043;5;5;brak danych;12.2 m;4969 mm;1908 mm;2118 mm;1422 mm;2926 mm;1651 mm;1637 mm;927 mm;1116 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1390 l;535 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;90 kg;brak danych;brak danych;od 2020 r do 2023 r;brak danych;brak danych;brak danych;370 Nm przy 1600 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;DOHC;4;brak danych;4;9.6:1;brak danych;Wtrysk bezpośredni;brak danych;82.5 mm;brak danych;brak danych;Przekładnia zębatkowa;225/55 R18;brak danych;8J x 18;brak danych;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;7 biegów;na przednią oś;brak danych;250 km/h;7 s;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;63 l;brak danych;brak danych;brak danych;brak danych;Euro-6d-ISC-FCM;1700 kg;610 kg;brak danych;750 kg;2000 kg;brak danych;brak danych;brak danych;DMTA,DPAA
Audi A7 Sportback C8 45 Tfsi 265hp Mild Hybrid Quattro Ultra S Tronic;Audi;A7;https://www.auto-data.net/pl/audi-a7-sportback-c8-45-tfsi-265hp-mild-hybrid-quattro-ultra-s-tronic-44044;5;5;brak danych;12.2 m;4969 mm;1908 mm;2118 mm;1422 mm;2926 mm;1651 mm;1637 mm;927 mm;1116 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1390 l;535 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;90 kg;brak danych;brak danych;od 2020 r do 2023 r;brak danych;brak danych;brak danych;370 Nm przy 1600 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;DOHC;4;brak danych;4;9.6:1;brak danych;Wtrysk bezpośredni;brak danych;82.5 mm;brak danych;brak danych;Przekładnia zębatkowa;225/55 R18;brak danych;8J x 18;brak danych;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;7 biegów;4x4;brak danych;250 km/h;6.2 s;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;63 l;brak danych;brak danych;brak danych;brak danych;Euro-6d-ISC-FCM;1760 kg;625 kg;brak danych;750 kg;2000 kg;brak danych;brak danych;brak danych;DMTA,DPAA
Audi A7 Sportback C8 45 Tfsi 245hp S Tronic;Audi;A7;https://www.auto-data.net/pl/audi-a7-sportback-c8-45-tfsi-245hp-s-tronic-35834;5;5;brak danych;brak danych;4969 mm;1908 mm;2118 mm;1422 mm;2926 mm;1651 mm;1637 mm;927 mm;1116 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;535 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;90 kg;brak danych;brak danych;od 2018 r do 2020 r;brak danych;brak danych;brak danych;370 Nm przy 1600 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;4;brak danych;4;brak danych;brak danych;Wtrysk bezpośredni;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;225/55 R18;brak danych;brak danych;brak danych;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;7 biegów;na przednią oś;brak danych;250 km/h;7 s;brak danych;brak danych;6.7 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;63 l;brak danych;brak danych;brak danych;142 g/km;Euro 6d - TEMP;1695 kg;605 kg;brak danych;750 kg;2000 kg;brak danych;brak danych;brak danych;DKNA,DLHA
Audi A7 Sportback C8 45 Tfsi 245hp Quattro Ultra S Tronic;Audi;A7;https://www.auto-data.net/pl/audi-a7-sportback-c8-45-tfsi-245hp-quattro-ultra-s-tronic-35835;5;5;brak danych;brak danych;4969 mm;1908 mm;2118 mm;1422 mm;2926 mm;1651 mm;1637 mm;927 mm;1116 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;535 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;90 kg;brak danych;brak danych;od 2018 r do 2020 r;brak danych;brak danych;brak danych;370 Nm przy 1600 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;4;brak danych;4;brak danych;brak danych;Wtrysk bezpośredni;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;225/55 R18;brak danych;brak danych;brak danych;brak danych;Tarczowe wentylowane;Tarczowe;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;7 biegów;4x4;brak danych;250 km/h;6.2 s;brak danych;brak danych;6.8 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;63 l;brak danych;brak danych;brak danych;145 g/km;Euro 6d - TEMP;1750 kg;625 kg;brak danych;750 kg;2000 kg;brak danych;brak danych;brak danych;DKNA,DLHA
Audi A7 Sportback C8 45 Tdi V6 245hp Mild Hybrid Quattro Ultra S Tronic;Audi;A7;https://www.auto-data.net/pl/audi-a7-sportback-c8-45-tdi-v6-245hp-mild-hybrid-quattro-ultra-s-tronic-50759;5;5;brak danych;12.2 m;4969 mm;1908 mm;2118 mm;1422 mm;2926 mm;1651 mm;1637 mm;927 mm;1116 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;1390 l;535 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;12.4°;brak danych;14.1°;brak danych;brak danych;brak danych;brak danych;90 kg;brak danych;brak danych;od 2020 r do 2023 r;brak danych;brak danych;brak danych;500 Nm przy 1500 obr/min;brak danych;brak danych;brak danych;60 Nm;brak danych;brak danych;DOHC;6;brak danych;4;16.3:1;brak danych;Diesel common rail;brak danych;83 mm;brak danych;brak danych;Przekładnia zębatkowa;225/55 R18;245/45 R19;8J x 18;8.5J x 19;brak danych;Tarczowe wentylowane, 350x34 mm;Tarczowe wentylowane , 330x22 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;7 biegów;4x4;brak danych;250 km/h;6.4 s;brak danych;brak danych;6.1 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;63 l;brak danych;brak danych;brak danych;152 g/km;Euro 6d-ISC-FCM;1880 kg;655 kg;brak danych;750 kg;2000 kg;brak danych;brak danych;brak danych;EA897evo3DMGH
Audi A7 Sportback C8 45 Tdi V6 231hp Quattro Tiptronic Mild Hybrid;Audi;A7;https://www.auto-data.net/pl/audi-a7-sportback-c8-45-tdi-v6-231hp-quattro-tiptronic-mild-hybrid-33453;5;5;brak danych;12.2 m;4969 mm;1908 mm;2118 mm;1422 mm;2926 mm;1651 mm;1637 mm;927 mm;1116 mm;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;535 l;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;90 kg;brak danych;brak danych;od 2018 r do 2020 r;brak danych;brak danych;brak danych;500 Nm przy 1750 obr/min;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;6;brak danych;4;brak danych;brak danych;Diesel common rail;brak danych;brak danych;brak danych;brak danych;Przekładnia zębatkowa;225/55 R18;brak danych;8J x 18;brak danych;brak danych;Tarczowe wentylowane;Tarczowe wentylowane;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;Niezależne zawieszenie wielowahaczowe;Niezależne zawieszenie wielowahaczowe;brak danych;automatyczna;brak danych;8 biegów;4x4;brak danych;250 km/h;6.5 s;brak danych;brak danych;5.8 l/100 km;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;brak danych;63 l;brak danych;brak danych;brak danych;147 g/km;Euro 6;1880 kg;655 kg;brak danych;750 kg;2000 kg;brak danych;brak danych;brak danych;DDVE
